#    L    TT             EE             BB             TE          
   295   0.154300E-08   0.260126E-12  -0.181510E-15   0.106112E-10
   296   0.154119E-08   0.268109E-12  -0.188907E-15   0.109245E-10
   297   0.153928E-08   0.276308E-12  -0.196001E-15   0.112386E-10
   298   0.153727E-08   0.284728E-12  -0.202763E-15   0.115535E-10
   299   0.153517E-08   0.293367E-12  -0.209166E-15   0.118694E-10
   300   0.153298E-08   0.302220E-12  -0.215183E-15   0.121860E-10
   301   0.153069E-08   0.311303E-12  -0.220791E-15   0.125034E-10
   302   0.152831E-08   0.320597E-12  -0.225967E-15   0.128216E-10
   303   0.152584E-08   0.330122E-12  -0.230688E-15   0.131404E-10
   304   0.152327E-08   0.339877E-12  -0.234936E-15   0.134597E-10
   305   0.152062E-08   0.349863E-12  -0.238693E-15   0.137793E-10
   306   0.151787E-08   0.360090E-12  -0.241943E-15   0.140992E-10
   307   0.151504E-08   0.370548E-12  -0.244672E-15   0.144193E-10
   308   0.151213E-08   0.381247E-12  -0.246870E-15   0.147393E-10
   309   0.150912E-08   0.392187E-12  -0.248527E-15   0.150593E-10
   310   0.150604E-08   0.403358E-12  -0.249637E-15   0.153791E-10
   311   0.150286E-08   0.414781E-12  -0.250196E-15   0.156985E-10
   312   0.149961E-08   0.426445E-12  -0.250203E-15   0.160175E-10
   313   0.149627E-08   0.438361E-12  -0.249659E-15   0.163359E-10
   314   0.149285E-08   0.450518E-12  -0.248568E-15   0.166537E-10
   315   0.148935E-08   0.462917E-12  -0.246936E-15   0.169708E-10
   316   0.148578E-08   0.475578E-12  -0.244774E-15   0.172869E-10
   317   0.148212E-08   0.488481E-12  -0.242094E-15   0.176022E-10
   318   0.147839E-08   0.501636E-12  -0.238910E-15   0.179165E-10
   319   0.147458E-08   0.515043E-12  -0.235242E-15   0.182296E-10
   320   0.147070E-08   0.528713E-12  -0.231110E-15   0.185416E-10
   321   0.146674E-08   0.542635E-12  -0.226538E-15   0.188523E-10
   322   0.146270E-08   0.556810E-12  -0.221553E-15   0.191616E-10
   323   0.145860E-08   0.571238E-12  -0.216182E-15   0.194695E-10
   324   0.145442E-08   0.585919E-12  -0.210460E-15   0.197759E-10
   325   0.145017E-08   0.600863E-12  -0.204420E-15   0.200807E-10
   326   0.144586E-08   0.616071E-12  -0.198099E-15   0.203838E-10
   327   0.144147E-08   0.631533E-12  -0.191537E-15   0.206851E-10
   328   0.143701E-08   0.647249E-12  -0.184776E-15   0.209846E-10
   329   0.143249E-08   0.663229E-12  -0.177861E-15   0.212824E-10
   330   0.142790E-08   0.679464E-12  -0.170836E-15   0.215782E-10
   331   0.142324E-08   0.695964E-12  -0.163752E-15   0.218720E-10
   332   0.141852E-08   0.712729E-12  -0.156657E-15   0.221636E-10
   333   0.141373E-08   0.729750E-12  -0.149604E-15   0.224533E-10
   334   0.140888E-08   0.747037E-12  -0.142646E-15   0.227407E-10
   335   0.140396E-08   0.764581E-12  -0.135838E-15   0.230260E-10
   336   0.139899E-08   0.782391E-12  -0.129235E-15   0.233090E-10
   337   0.139395E-08   0.800469E-12  -0.122895E-15   0.235898E-10
   338   0.138885E-08   0.818815E-12  -0.116874E-15   0.238682E-10
   339   0.138369E-08   0.837429E-12  -0.111232E-15   0.241443E-10
   340   0.137846E-08   0.856322E-12  -0.106026E-15   0.244180E-10
   341   0.137318E-08   0.875474E-12  -0.101315E-15   0.246893E-10
   342   0.136784E-08   0.894896E-12  -0.971580E-16   0.249580E-10
   343   0.136245E-08   0.914589E-12  -0.936125E-16   0.252243E-10
   344   0.135699E-08   0.934543E-12  -0.907364E-16   0.254879E-10
   345   0.135147E-08   0.954768E-12  -0.885864E-16   0.257488E-10
   346   0.134590E-08   0.975256E-12  -0.872183E-16   0.260070E-10
   347   0.134027E-08   0.996017E-12  -0.866866E-16   0.262624E-10
   348   0.133458E-08   0.101703E-11  -0.870443E-16   0.265150E-10
   349   0.132883E-08   0.103833E-11  -0.883425E-16   0.267649E-10
   350   0.132303E-08   0.105990E-11  -0.906306E-16   0.270121E-10
   351   0.131717E-08   0.108176E-11  -0.939553E-16   0.272564E-10
   352   0.131127E-08   0.110390E-11  -0.983613E-16   0.274980E-10
   353   0.130530E-08   0.112631E-11  -0.103890E-15   0.277366E-10
   354   0.129929E-08   0.114900E-11  -0.110581E-15   0.279725E-10
   355   0.129323E-08   0.117195E-11  -0.118470E-15   0.282053E-10
   356   0.128712E-08   0.119517E-11  -0.127589E-15   0.284351E-10
   357   0.128096E-08   0.121865E-11  -0.137966E-15   0.286617E-10
   358   0.127476E-08   0.124238E-11  -0.149628E-15   0.288851E-10
   359   0.126851E-08   0.126634E-11  -0.162594E-15   0.291052E-10
   360   0.126221E-08   0.129055E-11  -0.176883E-15   0.293220E-10
   361   0.125588E-08   0.131500E-11  -0.192506E-15   0.295353E-10
   362   0.124950E-08   0.133967E-11  -0.209472E-15   0.297451E-10
   363   0.124308E-08   0.136457E-11  -0.227785E-15   0.299513E-10
   364   0.123662E-08   0.138969E-11  -0.247442E-15   0.301539E-10
   365   0.123012E-08   0.141504E-11  -0.268440E-15   0.303529E-10
   366   0.122358E-08   0.144060E-11  -0.290766E-15   0.305482E-10
   367   0.121701E-08   0.146638E-11  -0.314404E-15   0.307397E-10
   368   0.121040E-08   0.149237E-11  -0.339334E-15   0.309274E-10
   369   0.120376E-08   0.151858E-11  -0.365528E-15   0.311113E-10
   370   0.119708E-08   0.154498E-11  -0.392957E-15   0.312913E-10
   371   0.119037E-08   0.157161E-11  -0.421582E-15   0.314674E-10
   372   0.118362E-08   0.159842E-11  -0.451362E-15   0.316395E-10
   373   0.117685E-08   0.162545E-11  -0.482250E-15   0.318075E-10
   374   0.117004E-08   0.165269E-11  -0.514193E-15   0.319714E-10
   375   0.116321E-08   0.168012E-11  -0.547133E-15   0.321312E-10
   376   0.115634E-08   0.170775E-11  -0.581007E-15   0.322868E-10
   377   0.114945E-08   0.173558E-11  -0.615748E-15   0.324381E-10
   378   0.114253E-08   0.176360E-11  -0.651283E-15   0.325851E-10
   379   0.113558E-08   0.179180E-11  -0.687533E-15   0.327278E-10
   380   0.112860E-08   0.182019E-11  -0.724417E-15   0.328660E-10
   381   0.112160E-08   0.184878E-11  -0.761848E-15   0.329997E-10
   382   0.111458E-08   0.187753E-11  -0.799733E-15   0.331289E-10
   383   0.110753E-08   0.190648E-11  -0.837977E-15   0.332536E-10
   384   0.110045E-08   0.193561E-11  -0.876481E-15   0.333736E-10
   385   0.109335E-08   0.196493E-11  -0.915141E-15   0.334890E-10
   386   0.108623E-08   0.199444E-11  -0.953849E-15   0.335997E-10
