#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    85   0.454353E-09  -0.182413E-11   0.100630E-09  -0.182413E-11   0.442351E-13  -0.666634E-13   0.100630E-09  -0.666634E-13   0.263124E-07
    86   0.460965E-09  -0.189938E-11   0.987615E-10  -0.189938E-11   0.456997E-13  -0.105203E-12   0.987615E-10  -0.105203E-12   0.258297E-07
    87   0.467618E-09  -0.197598E-11   0.969918E-10  -0.197598E-11   0.471868E-13  -0.138669E-12   0.969918E-10  -0.138669E-12   0.253546E-07
    88   0.474303E-09  -0.205385E-11   0.953113E-10  -0.205385E-11   0.486956E-13  -0.166674E-12   0.953113E-10  -0.166674E-12   0.248870E-07
    89   0.481016E-09  -0.213292E-11   0.937105E-10  -0.213292E-11   0.502255E-13  -0.188827E-12   0.937105E-10  -0.188827E-12   0.244267E-07
    90   0.487752E-09  -0.221317E-11   0.921797E-10  -0.221317E-11   0.517752E-13  -0.204740E-12   0.921797E-10  -0.204740E-12   0.239736E-07
    91   0.494507E-09  -0.229451E-11   0.907104E-10  -0.229451E-11   0.533439E-13  -0.214185E-12   0.907104E-10  -0.214185E-12   0.235276E-07
    92   0.501281E-09  -0.237696E-11   0.892987E-10  -0.237696E-11   0.549307E-13  -0.217576E-12   0.892987E-10  -0.217576E-12   0.230887E-07
    93   0.508077E-09  -0.246047E-11   0.879421E-10  -0.246047E-11   0.565348E-13  -0.215489E-12   0.879421E-10  -0.215489E-12   0.226567E-07
    94   0.514894E-09  -0.254506E-11   0.866377E-10  -0.254506E-11   0.581555E-13  -0.208500E-12   0.866377E-10  -0.208500E-12   0.222315E-07
    95   0.521736E-09  -0.263070E-11   0.853830E-10  -0.263070E-11   0.597918E-13  -0.197184E-12   0.853830E-10  -0.197184E-12   0.218132E-07
    96   0.528602E-09  -0.271735E-11   0.841753E-10  -0.271735E-11   0.614430E-13  -0.182118E-12   0.841753E-10  -0.182118E-12   0.214016E-07
    97   0.535493E-09  -0.280500E-11   0.830119E-10  -0.280500E-11   0.631081E-13  -0.163877E-12   0.830119E-10  -0.163877E-12   0.209967E-07
    98   0.542410E-09  -0.289362E-11   0.818901E-10  -0.289362E-11   0.647861E-13  -0.143037E-12   0.818901E-10  -0.143037E-12   0.205983E-07
    99   0.549351E-09  -0.298318E-11   0.808073E-10  -0.298318E-11   0.664763E-13  -0.120174E-12   0.808073E-10  -0.120174E-12   0.202066E-07
   100   0.556320E-09  -0.307366E-11   0.797607E-10  -0.307366E-11   0.681781E-13  -0.958629E-13   0.797607E-10  -0.958629E-13   0.198212E-07
   101   0.563315E-09  -0.316500E-11   0.787477E-10  -0.316500E-11   0.698907E-13  -0.706804E-13   0.787477E-10  -0.706804E-13   0.194423E-07
   102   0.570337E-09  -0.325722E-11   0.777657E-10  -0.325722E-11   0.716122E-13  -0.452020E-13   0.777657E-10  -0.452020E-13   0.190697E-07
   103   0.577386E-09  -0.335023E-11   0.768118E-10  -0.335023E-11   0.733436E-13  -0.200033E-13   0.768118E-10  -0.200033E-13   0.187034E-07
   104   0.584461E-09  -0.344403E-11   0.758836E-10  -0.344403E-11   0.750820E-13   0.433969E-14   0.758836E-10   0.433969E-14   0.183432E-07
   105   0.591563E-09  -0.353857E-11   0.749783E-10  -0.353857E-11   0.768277E-13   0.272513E-13   0.749783E-10   0.272513E-13   0.179892E-07
   106   0.598692E-09  -0.363381E-11   0.740931E-10  -0.363381E-11   0.785796E-13   0.481558E-13   0.740931E-10   0.481558E-13   0.176413E-07
   107   0.605846E-09  -0.372970E-11   0.732256E-10  -0.372970E-11   0.803379E-13   0.664774E-13   0.732256E-10   0.664774E-13   0.172993E-07
   108   0.613025E-09  -0.382623E-11   0.723728E-10  -0.382623E-11   0.821007E-13   0.816403E-13   0.723728E-10   0.816403E-13   0.169632E-07
   109   0.620231E-09  -0.392332E-11   0.715323E-10  -0.392332E-11   0.838680E-13   0.930687E-13   0.715323E-10   0.930687E-13   0.166329E-07
   110   0.627461E-09  -0.402095E-11   0.707013E-10  -0.402095E-11   0.856381E-13   0.100187E-12   0.707013E-10   0.100187E-12   0.163085E-07
   111   0.634717E-09  -0.411911E-11   0.698777E-10  -0.411911E-11   0.874108E-13   0.102583E-12   0.698777E-10   0.102583E-12   0.159897E-07
   112   0.641998E-09  -0.421770E-11   0.690617E-10  -0.421770E-11   0.891856E-13   0.100500E-12   0.690617E-10   0.100500E-12   0.156766E-07
   113   0.649304E-09  -0.431670E-11   0.682539E-10  -0.431670E-11   0.909599E-13   0.943473E-13   0.682539E-10   0.943473E-13   0.153691E-07
   114   0.656633E-09  -0.441606E-11   0.674549E-10  -0.441606E-11   0.927320E-13   0.845311E-13   0.674549E-10   0.845311E-13   0.150670E-07
   115   0.663986E-09  -0.451573E-11   0.666656E-10  -0.451573E-11   0.945022E-13   0.714594E-13   0.666656E-10   0.714594E-13   0.147703E-07
   116   0.671363E-09  -0.461566E-11   0.658865E-10  -0.461566E-11   0.962689E-13   0.555399E-13   0.658865E-10   0.555399E-13   0.144790E-07
   117   0.678763E-09  -0.471580E-11   0.651185E-10  -0.471580E-11   0.980294E-13   0.371802E-13   0.651185E-10   0.371802E-13   0.141929E-07
   118   0.686184E-09  -0.481609E-11   0.643620E-10  -0.481609E-11   0.997841E-13   0.167879E-13   0.643620E-10   0.167879E-13   0.139120E-07
   119   0.693627E-09  -0.491651E-11   0.636179E-10  -0.491651E-11   0.101531E-12  -0.522922E-14   0.636179E-10  -0.522922E-14   0.136362E-07
   120   0.701092E-09  -0.501700E-11   0.628869E-10  -0.501700E-11   0.103270E-12  -0.284636E-13   0.628869E-10  -0.284636E-13   0.133655E-07
   121   0.708576E-09  -0.511749E-11   0.621695E-10  -0.511749E-11   0.104999E-12  -0.525077E-13   0.621695E-10  -0.525077E-13   0.130997E-07
   122   0.716080E-09  -0.521797E-11   0.614666E-10  -0.521797E-11   0.106718E-12  -0.769537E-13   0.614666E-10  -0.769537E-13   0.128388E-07
   123   0.723603E-09  -0.531838E-11   0.607788E-10  -0.531838E-11   0.108425E-12  -0.101394E-12   0.607788E-10  -0.101394E-12   0.125827E-07
   124   0.731144E-09  -0.541865E-11   0.601067E-10  -0.541865E-11   0.110120E-12  -0.125421E-12   0.601067E-10  -0.125421E-12   0.123313E-07
   125   0.738702E-09  -0.551877E-11   0.594511E-10  -0.551877E-11   0.111802E-12  -0.148627E-12   0.594511E-10  -0.148627E-12   0.120846E-07
   126   0.746278E-09  -0.561868E-11   0.588126E-10  -0.561868E-11   0.113469E-12  -0.170605E-12   0.588126E-10  -0.170605E-12   0.118425E-07
   127   0.753869E-09  -0.571832E-11   0.581920E-10  -0.571832E-11   0.115124E-12  -0.190946E-12   0.581920E-10  -0.190946E-12   0.116049E-07
   128   0.761476E-09  -0.581768E-11   0.575899E-10  -0.581768E-11   0.116762E-12  -0.209244E-12   0.575899E-10  -0.209244E-12   0.113717E-07
   129   0.769097E-09  -0.591669E-11   0.570071E-10  -0.591669E-11   0.118385E-12  -0.225089E-12   0.570071E-10  -0.225089E-12   0.111429E-07
   130   0.776733E-09  -0.601531E-11   0.564441E-10  -0.601531E-11   0.119992E-12  -0.238076E-12   0.564441E-10  -0.238076E-12   0.109184E-07
   131   0.784380E-09  -0.611351E-11   0.559014E-10  -0.611351E-11   0.121582E-12  -0.247904E-12   0.559014E-10  -0.247904E-12   0.106981E-07
   132   0.792041E-09  -0.621121E-11   0.553784E-10  -0.621121E-11   0.123154E-12  -0.254704E-12   0.553784E-10  -0.254704E-12   0.104819E-07
   133   0.799714E-09  -0.630837E-11   0.548740E-10  -0.630837E-11   0.124705E-12  -0.258714E-12   0.548740E-10  -0.258714E-12   0.102699E-07
   134   0.807398E-09  -0.640492E-11   0.543873E-10  -0.640492E-11   0.126237E-12  -0.260175E-12   0.543873E-10  -0.260175E-12   0.100618E-07
   135   0.815092E-09  -0.650083E-11   0.539174E-10  -0.650083E-11   0.127745E-12  -0.259323E-12   0.539174E-10  -0.259323E-12   0.985778E-08
   136   0.822796E-09  -0.659600E-11   0.534632E-10  -0.659600E-11   0.129229E-12  -0.256399E-12   0.534632E-10  -0.256399E-12   0.965763E-08
   137   0.830511E-09  -0.669040E-11   0.530238E-10  -0.669040E-11   0.130687E-12  -0.251641E-12   0.530238E-10  -0.251641E-12   0.946132E-08
   138   0.838233E-09  -0.678398E-11   0.525982E-10  -0.678398E-11   0.132119E-12  -0.245287E-12   0.525982E-10  -0.245287E-12   0.926881E-08
   139   0.845964E-09  -0.687668E-11   0.521856E-10  -0.687668E-11   0.133522E-12  -0.237577E-12   0.521856E-10  -0.237577E-12   0.908001E-08
   140   0.853703E-09  -0.696846E-11   0.517848E-10  -0.696846E-11   0.134897E-12  -0.228750E-12   0.517848E-10  -0.228750E-12   0.889489E-08
   141   0.861448E-09  -0.705927E-11   0.513950E-10  -0.705927E-11   0.136243E-12  -0.219043E-12   0.513950E-10  -0.219043E-12   0.871337E-08
   142   0.869199E-09  -0.714905E-11   0.510151E-10  -0.714905E-11   0.137557E-12  -0.208697E-12   0.510151E-10  -0.208697E-12   0.853539E-08
   143   0.876957E-09  -0.723776E-11   0.506443E-10  -0.723776E-11   0.138841E-12  -0.197949E-12   0.506443E-10  -0.197949E-12   0.836089E-08
   144   0.884718E-09  -0.732537E-11   0.502815E-10  -0.732537E-11   0.140092E-12  -0.187039E-12   0.502815E-10  -0.187039E-12   0.818982E-08
   145   0.892485E-09  -0.741179E-11   0.499258E-10  -0.741179E-11   0.141310E-12  -0.176205E-12   0.499258E-10  -0.176205E-12   0.802211E-08
   146   0.900252E-09  -0.749702E-11   0.495763E-10  -0.749702E-11   0.142495E-12  -0.165687E-12   0.495763E-10  -0.165687E-12   0.785770E-08
