#    L    TT             EE             TE             PP             TP          
   181   0.116484E-08   0.159157E-12  -0.931330E-11   0.236058E-07   0.240725E-09
   182   0.117196E-08   0.158882E-12  -0.932152E-11   0.231283E-07   0.238989E-09
   183   0.117905E-08   0.158564E-12  -0.932680E-11   0.226613E-07   0.237264E-09
   184   0.118610E-08   0.158204E-12  -0.932911E-11   0.222045E-07   0.235550E-09
   185   0.119311E-08   0.157803E-12  -0.932837E-11   0.217578E-07   0.233846E-09
   186   0.120008E-08   0.157360E-12  -0.932459E-11   0.213210E-07   0.232153E-09
   187   0.120702E-08   0.156873E-12  -0.931770E-11   0.208939E-07   0.230470E-09
   188   0.121391E-08   0.156346E-12  -0.930768E-11   0.204763E-07   0.228796E-09
   189   0.122076E-08   0.155776E-12  -0.929451E-11   0.200679E-07   0.227133E-09
   190   0.122758E-08   0.155165E-12  -0.927816E-11   0.196687E-07   0.225479E-09
   191   0.123435E-08   0.154513E-12  -0.925861E-11   0.192784E-07   0.223834E-09
   192   0.124108E-08   0.153819E-12  -0.923580E-11   0.188967E-07   0.222199E-09
   193   0.124776E-08   0.153086E-12  -0.920973E-11   0.185236E-07   0.220573E-09
   194   0.125440E-08   0.152312E-12  -0.918039E-11   0.181588E-07   0.218955E-09
   195   0.126100E-08   0.151498E-12  -0.914775E-11   0.178021E-07   0.217346E-09
   196   0.126755E-08   0.150645E-12  -0.911182E-11   0.174533E-07   0.215746E-09
   197   0.127406E-08   0.149754E-12  -0.907257E-11   0.171122E-07   0.214154E-09
   198   0.128052E-08   0.148826E-12  -0.902999E-11   0.167787E-07   0.212570E-09
   199   0.128694E-08   0.147859E-12  -0.898406E-11   0.164525E-07   0.210995E-09
   200   0.129331E-08   0.146857E-12  -0.893480E-11   0.161334E-07   0.209426E-09
   201   0.129964E-08   0.145818E-12  -0.888217E-11   0.158213E-07   0.207866E-09
   202   0.130591E-08   0.144746E-12  -0.882617E-11   0.155161E-07   0.206313E-09
   203   0.131214E-08   0.143645E-12  -0.876675E-11   0.152176E-07   0.204767E-09
   204   0.131831E-08   0.142516E-12  -0.870388E-11   0.149257E-07   0.203229E-09
   205   0.132443E-08   0.141363E-12  -0.863756E-11   0.146404E-07   0.201698E-09
   206   0.133048E-08   0.140188E-12  -0.856773E-11   0.143615E-07   0.200173E-09
   207   0.133648E-08   0.138995E-12  -0.849437E-11   0.140890E-07   0.198656E-09
   208   0.134241E-08   0.137787E-12  -0.841747E-11   0.138227E-07   0.197145E-09
   209   0.134829E-08   0.136566E-12  -0.833703E-11   0.135626E-07   0.195641E-09
   210   0.135410E-08   0.135336E-12  -0.825302E-11   0.133086E-07   0.194144E-09
   211   0.135985E-08   0.134099E-12  -0.816545E-11   0.130605E-07   0.192653E-09
   212   0.136554E-08   0.132858E-12  -0.807430E-11   0.128183E-07   0.191168E-09
   213   0.137116E-08   0.131617E-12  -0.797955E-11   0.125818E-07   0.189690E-09
   214   0.137673E-08   0.130378E-12  -0.788121E-11   0.123510E-07   0.188218E-09
   215   0.138223E-08   0.129144E-12  -0.777926E-11   0.121258E-07   0.186751E-09
   216   0.138766E-08   0.127918E-12  -0.767371E-11   0.119061E-07   0.185291E-09
   217   0.139302E-08   0.126702E-12  -0.756454E-11   0.116917E-07   0.183836E-09
   218   0.139832E-08   0.125499E-12  -0.745174E-11   0.114826E-07   0.182387E-09
   219   0.140354E-08   0.124312E-12  -0.733532E-11   0.112787E-07   0.180944E-09
   220   0.140869E-08   0.123144E-12  -0.721527E-11   0.110799E-07   0.179505E-09
   221   0.141377E-08   0.121996E-12  -0.709160E-11   0.108860E-07   0.178073E-09
   222   0.141877E-08   0.120873E-12  -0.696428E-11   0.106971E-07   0.176645E-09
   223   0.142370E-08   0.119775E-12  -0.683334E-11   0.105129E-07   0.175222E-09
   224   0.142855E-08   0.118706E-12  -0.669876E-11   0.103334E-07   0.173805E-09
   225   0.143332E-08   0.117667E-12  -0.656058E-11   0.101585E-07   0.172392E-09
   226   0.143802E-08   0.116660E-12  -0.641877E-11   0.998808E-08   0.170984E-09
   227   0.144263E-08   0.115690E-12  -0.627335E-11   0.982207E-08   0.169580E-09
   228   0.144716E-08   0.114756E-12  -0.612433E-11   0.966035E-08   0.168181E-09
   229   0.145162E-08   0.113861E-12  -0.597170E-11   0.950283E-08   0.166787E-09
   230   0.145599E-08   0.113008E-12  -0.581549E-11   0.934941E-08   0.165397E-09
   231   0.146028E-08   0.112197E-12  -0.565570E-11   0.920000E-08   0.164010E-09
   232   0.146449E-08   0.111430E-12  -0.549233E-11   0.905449E-08   0.162628E-09
   233   0.146861E-08   0.110710E-12  -0.532540E-11   0.891279E-08   0.161250E-09
   234   0.147265E-08   0.110037E-12  -0.515494E-11   0.877480E-08   0.159876E-09
   235   0.147660E-08   0.109414E-12  -0.498092E-11   0.864042E-08   0.158505E-09
   236   0.148046E-08   0.108842E-12  -0.480338E-11   0.850955E-08   0.157138E-09
   237   0.148424E-08   0.108321E-12  -0.462234E-11   0.838210E-08   0.155774E-09
   238   0.148794E-08   0.107853E-12  -0.443779E-11   0.825796E-08   0.154414E-09
   239   0.149154E-08   0.107437E-12  -0.424976E-11   0.813705E-08   0.153057E-09
   240   0.149506E-08   0.107077E-12  -0.405828E-11   0.801925E-08   0.151703E-09
   241   0.149848E-08   0.106772E-12  -0.386332E-11   0.790448E-08   0.150352E-09
   242   0.150182E-08   0.106523E-12  -0.366494E-11   0.779264E-08   0.149004E-09
   243   0.150507E-08   0.106331E-12  -0.346315E-11   0.768362E-08   0.147659E-09
   244   0.150822E-08   0.106195E-12  -0.325793E-11   0.757734E-08   0.146316E-09
   245   0.151129E-08   0.106117E-12  -0.304931E-11   0.747368E-08   0.144976E-09
