a  H_over_H0
1.580404e-01 4.438861e+00
1.582904e-01 4.430783e+00
1.585405e-01 4.422736e+00
1.587905e-01 4.414721e+00
1.590406e-01 4.406738e+00
1.592907e-01 4.398786e+00
1.595407e-01 4.390866e+00
1.597908e-01 4.382976e+00
1.600408e-01 4.375118e+00
1.602909e-01 4.367291e+00
1.605410e-01 4.359494e+00
1.607910e-01 4.351728e+00
1.610411e-01 4.343992e+00
1.612912e-01 4.336286e+00
1.615412e-01 4.328610e+00
1.617913e-01 4.320964e+00
1.620413e-01 4.313347e+00
1.622914e-01 4.305760e+00
1.625415e-01 4.298203e+00
1.627915e-01 4.290674e+00
1.630416e-01 4.283175e+00
1.632917e-01 4.275704e+00
1.635417e-01 4.268262e+00
1.637918e-01 4.260849e+00
1.640418e-01 4.253463e+00
1.642919e-01 4.246106e+00
1.645420e-01 4.238778e+00
1.647920e-01 4.231477e+00
1.650421e-01 4.224203e+00
1.652922e-01 4.216958e+00
1.655422e-01 4.209740e+00
1.657923e-01 4.202549e+00
1.660423e-01 4.195385e+00
1.662924e-01 4.188249e+00
1.665425e-01 4.181139e+00
1.667925e-01 4.174056e+00
1.670426e-01 4.166999e+00
1.672927e-01 4.159969e+00
1.675427e-01 4.152966e+00
1.677928e-01 4.145988e+00
1.680428e-01 4.139037e+00
1.682929e-01 4.132111e+00
1.685430e-01 4.125211e+00
1.687930e-01 4.118337e+00
1.690431e-01 4.111488e+00
1.692932e-01 4.104665e+00
1.695432e-01 4.097867e+00
1.697933e-01 4.091093e+00
1.700433e-01 4.084345e+00
1.702934e-01 4.077622e+00
1.705435e-01 4.070923e+00
1.707935e-01 4.064249e+00
1.710436e-01 4.057599e+00
1.712937e-01 4.050974e+00
1.715437e-01 4.044373e+00
1.717938e-01 4.037796e+00
1.720438e-01 4.031242e+00
1.722939e-01 4.024713e+00
1.725440e-01 4.018207e+00
1.727940e-01 4.011725e+00
1.730441e-01 4.005266e+00
1.732942e-01 3.998831e+00
1.735442e-01 3.992418e+00
1.737943e-01 3.986029e+00
1.740443e-01 3.979663e+00
1.742944e-01 3.973320e+00
1.745445e-01 3.966999e+00
1.747945e-01 3.960701e+00
1.750446e-01 3.954425e+00
1.752946e-01 3.948172e+00
1.755447e-01 3.941941e+00
1.757948e-01 3.935732e+00
1.760448e-01 3.929546e+00
1.762949e-01 3.923381e+00
1.765450e-01 3.917238e+00
1.767950e-01 3.911117e+00
1.770451e-01 3.905017e+00
1.772951e-01 3.898939e+00
1.775452e-01 3.892882e+00
1.777953e-01 3.886846e+00
1.780453e-01 3.880832e+00
1.782954e-01 3.874839e+00
1.785455e-01 3.868866e+00
1.787955e-01 3.862915e+00
1.790456e-01 3.856984e+00
1.792956e-01 3.851074e+00
1.795457e-01 3.845184e+00
1.797958e-01 3.839315e+00
1.800458e-01 3.833466e+00
1.802959e-01 3.827638e+00
1.805460e-01 3.821829e+00
1.807960e-01 3.816041e+00
1.810461e-01 3.810272e+00
1.812961e-01 3.804524e+00
1.815462e-01 3.798795e+00
1.817963e-01 3.793085e+00
1.820463e-01 3.787396e+00
1.822964e-01 3.781726e+00
1.825465e-01 3.776075e+00
1.827965e-01 3.770443e+00
1.830466e-01 3.764831e+00
1.832966e-01 3.759237e+00
1.835467e-01 3.753663e+00
1.837968e-01 3.748107e+00
1.840468e-01 3.742570e+00
1.842969e-01 3.737052e+00
1.845470e-01 3.731553e+00
1.847970e-01 3.726072e+00
1.850471e-01 3.720610e+00
1.852971e-01 3.715166e+00
1.855472e-01 3.709740e+00
1.857973e-01 3.704332e+00
1.860473e-01 3.698943e+00
1.862974e-01 3.693571e+00
1.865475e-01 3.688217e+00
1.867975e-01 3.682882e+00
1.870476e-01 3.677564e+00
1.872976e-01 3.672263e+00
1.875477e-01 3.666980e+00
1.877978e-01 3.661715e+00
1.880478e-01 3.656467e+00
1.882979e-01 3.651236e+00
1.885479e-01 3.646023e+00
1.887980e-01 3.640827e+00
1.890481e-01 3.635648e+00
1.892981e-01 3.630485e+00
1.895482e-01 3.625340e+00
1.897983e-01 3.620212e+00
1.900483e-01 3.615100e+00
1.902984e-01 3.610005e+00
1.905484e-01 3.604927e+00
1.907985e-01 3.599865e+00
1.910486e-01 3.594820e+00
1.912986e-01 3.589791e+00
1.915487e-01 3.584778e+00
1.917988e-01 3.579782e+00
1.920488e-01 3.574801e+00
1.922989e-01 3.569837e+00
1.925489e-01 3.564889e+00
1.927990e-01 3.559956e+00
1.930491e-01 3.555040e+00
1.932991e-01 3.550139e+00
1.935492e-01 3.545254e+00
1.937993e-01 3.540385e+00
1.940493e-01 3.535531e+00
1.942994e-01 3.530692e+00
1.945494e-01 3.525869e+00
1.947995e-01 3.521062e+00
1.950496e-01 3.516270e+00
1.952996e-01 3.511492e+00
1.955497e-01 3.506730e+00
1.957998e-01 3.501984e+00
1.960498e-01 3.497252e+00
1.962999e-01 3.492535e+00
1.965499e-01 3.487832e+00
1.968000e-01 3.483145e+00
1.970501e-01 3.478472e+00
1.973001e-01 3.473814e+00
1.975502e-01 3.469171e+00
1.978003e-01 3.464542e+00
1.980503e-01 3.459928e+00
1.983004e-01 3.455328e+00
1.985504e-01 3.450742e+00
1.988005e-01 3.446171e+00
1.990506e-01 3.441614e+00
1.993006e-01 3.437071e+00
1.995507e-01 3.432542e+00
1.998008e-01 3.428027e+00
2.000508e-01 3.423526e+00
2.003009e-01 3.419039e+00
2.005509e-01 3.414565e+00
2.008010e-01 3.410106e+00
2.010511e-01 3.405660e+00
2.013011e-01 3.401228e+00
2.015512e-01 3.396809e+00
2.018012e-01 3.392404e+00
2.020513e-01 3.388012e+00
2.023014e-01 3.383634e+00
2.025514e-01 3.379269e+00
2.028015e-01 3.374918e+00
2.030516e-01 3.370579e+00
2.033016e-01 3.366254e+00
2.035517e-01 3.361942e+00
2.038017e-01 3.357643e+00
