Omega_m,cost,age_Gyr,ok,P1,P2,P3,P4,P5,P6
0.025700,4.246350789308505,45.492562,1,350.0,427.0,650.0,1121.0,1250.0,1769.0
0.025800,4.254878089014047,45.421467,1,350.0,426.0,650.0,1120.0,1250.0,1767.0
0.025900,4.262212383931269,45.350727,1,350.0,426.0,650.0,1119.0,1250.0,1765.0
0.026000,4.268353674060173,45.28034,1,350.0,427.0,650.0,1118.0,1250.0,1763.0
0.026100,4.279948170530393,45.210303,1,350.0,425.0,650.0,1116.0,1250.0,1761.0
0.026200,4.286119389710517,45.140612,1,350.0,426.0,650.0,1115.0,1250.0,1759.0
0.026300,4.294727497854359,45.071265,1,350.0,425.0,650.0,1114.0,1250.0,1757.0
0.026400,4.302139608304757,45.002258,1,350.0,425.0,650.0,1113.0,1250.0,1755.0
0.026500,4.312606943899346,44.93359,1,350.0,424.0,650.0,1111.0,1250.0,1753.0
0.026600,4.3200519763060905,44.865257,1,350.0,424.0,650.0,1110.0,1250.0,1751.0
0.026700,4.32872892126774,44.797256,1,350.0,423.0,650.0,1109.0,1250.0,1749.0
0.026800,4.33498693469641,44.729584,1,350.0,424.0,650.0,1108.0,1250.0,1747.0
0.026900,4.343693808709283,44.66224,1,350.0,423.0,650.0,1107.0,1250.0,1745.0
0.027000,4.354262903078028,44.595219,1,350.0,422.0,650.0,1105.0,1250.0,1743.0
0.027100,4.3617857510179485,44.52852,1,350.0,422.0,650.0,1104.0,1250.0,1741.0
0.027200,4.370546497323021,44.46214,1,350.0,421.0,650.0,1103.0,1250.0,1739.0
0.027300,4.378099274314163,44.396076,1,350.0,421.0,650.0,1102.0,1250.0,1737.0
0.027400,4.384035692637456,44.330326,1,350.0,420.0,650.0,1101.0,1250.0,1736.0
0.027500,4.390386486124912,44.264887,1,350.0,421.0,650.0,1100.0,1250.0,1734.0
0.027600,4.401069310888301,44.199757,1,350.0,420.0,650.0,1098.0,1250.0,1732.0
0.027700,4.40990787272655,44.134932,1,350.0,419.0,650.0,1097.0,1250.0,1730.0
0.027800,4.417532479440627,44.070411,1,350.0,419.0,650.0,1096.0,1250.0,1728.0
0.027900,4.425172050680313,44.006192,1,350.0,419.0,650.0,1095.0,1250.0,1726.0
0.028000,4.4299364145511415,43.942271,1,350.0,419.0,650.0,1094.0,1250.0,1725.0
0.028100,4.438831841586714,43.878647,1,350.0,418.0,650.0,1093.0,1250.0,1723.0
0.028200,4.4477452260530175,43.815317,1,350.0,417.0,650.0,1092.0,1250.0,1721.0
0.028300,4.454203764124875,43.752279,1,350.0,418.0,650.0,1091.0,1250.0,1719.0
0.028400,4.46212810481917,43.68953,1,350.0,417.0,650.0,1089.0,1250.0,1718.0
0.028500,4.471086382862307,43.627068,1,350.0,416.0,650.0,1088.0,1250.0,1716.0
0.028600,4.477583828700753,43.564892,1,350.0,417.0,650.0,1087.0,1250.0,1714.0
0.028700,4.486572035795114,43.502998,1,350.0,416.0,650.0,1086.0,1250.0,1712.0
0.028800,4.491405236483753,43.441385,1,350.0,416.0,650.0,1085.0,1250.0,1711.0
